Returned,Order ID,Market
Yes,IN-2014-44012,APAC
Yes,MX-2013-135916,LATAM
Yes,ES-2013-2638509,EU
Yes,CA-2011-108609,United States
Yes,IN-2013-12715,APAC
Yes,IN-2013-35087,APAC
Yes,IN-2014-41814,APAC
Yes,ES-2011-3249098,EU
Yes,ES-2013-5246151,EU
Yes,IN-2011-86278,APAC
Yes,IN-2013-49318,APAC
Yes,CA-2014-111556,United States
Yes,US-2012-128090,United States
Yes,MX-2011-101518,LATAM
Yes,ES-2013-3425110,EU
Yes,MX-2013-168137,LATAM
Yes,US-2011-165316,LATAM
Yes,ES-2013-1525878,EU
Yes,CA-2013-118311,United States
Yes,ES-2011-1276768,EU
Yes,MX-2013-131247,LATAM
Yes,ID-2011-20975,APAC
Yes,IN-2014-58460,APAC
Yes,ES-2011-3028321,EU
Yes,MX-2014-148285,LATAM
Yes,IN-2014-54708,APAC
Yes,ID-2011-20989,APAC
Yes,ES-2013-3323529,EU
Yes,MX-2014-135328,LATAM
Yes,IN-2012-63934,APAC
Yes,IN-2014-43039,APAC
Yes,CA-2012-150875,United States
Yes,ES-2011-3074997,EU
Yes,CA-2011-133690,United States
Yes,IN-2014-84948,APAC
Yes,CA-2013-157280,United States
Yes,ID-2012-44173,APAC
Yes,CA-2012-111948,United States
Yes,CA-2014-167003,United States
Yes,CA-2012-149636,United States
Yes,IN-2014-46007,APAC
Yes,CA-2014-154074,United States
Yes,MX-2014-114601,LATAM
Yes,MX-2014-142643,LATAM
Yes,IN-2011-38965,APAC
Yes,IN-2014-14003,APAC
Yes,CA-2014-166898,United States
Yes,IN-2014-15676,APAC
Yes,ES-2014-4295205,EU
Yes,US-2012-106551,LATAM
Yes,MX-2013-110135,LATAM
Yes,CA-2011-102652,United States
Yes,CA-2012-151547,United States
Yes,US-2012-115196,LATAM
Yes,MX-2012-153325,LATAM
Yes,MX-2012-128363,LATAM
Yes,ES-2014-4790238,EU
Yes,MX-2011-156755,LATAM
Yes,MX-2013-133074,LATAM
Yes,IN-2014-10979,APAC
Yes,IN-2014-17027,APAC
Yes,US-2011-104535,LATAM
Yes,IT-2013-4354136,EU
Yes,ID-2014-86033,APAC
Yes,ES-2012-2088434,EU
Yes,CA-2013-126529,United States
Yes,CA-2014-103380,United States
Yes,IN-2012-68911,APAC
Yes,IN-2014-44012,APAC
Yes,IN-2012-29228,APAC
Yes,ID-2013-67693,APAC
Yes,MX-2012-129560,LATAM
Yes,MX-2014-135867,LATAM
Yes,MX-2013-135916,LATAM
Yes,CA-2013-105291,United States
Yes,ID-2014-68505,APAC
Yes,US-2012-112004,LATAM
Yes,IN-2013-68449,APAC
Yes,IN-2014-28640,APAC
Yes,MX-2012-105662,LATAM
Yes,ES-2014-4472745,EU
Yes,US-2013-162068,LATAM
Yes,ID-2011-69142,APAC
Yes,MX-2011-157000,LATAM
Yes,IN-2011-72502,APAC
Yes,IN-2013-13786,APAC
Yes,MX-2012-104269,LATAM
Yes,MX-2012-152905,LATAM
Yes,IN-2012-39889,APAC
Yes,IT-2014-5517515,EU
Yes,ES-2014-5297792,EU
Yes,MX-2013-139948,LATAM
Yes,IT-2014-2277753,EU
Yes,IN-2014-25637,APAC
Yes,MX-2013-110828,LATAM
Yes,CA-2014-138163,United States
Yes,IN-2014-62366,APAC
Yes,MX-2013-134831,LATAM
Yes,ES-2012-1295099,EU
Yes,IN-2012-30572,APAC
Yes,ES-2014-5385720,EU
Yes,ES-2013-5106699,EU
Yes,ID-2014-56752,APAC
Yes,ID-2013-72362,APAC
Yes,US-2013-114293,United States
Yes,ES-2014-1703772,EU
Yes,IN-2013-69128,APAC
Yes,ID-2011-49031,APAC
Yes,ES-2012-4804562,EU
Yes,IN-2012-13772,APAC
